unit,run_id,id,trial_id,source,pass,retry_of,effective,model_requested,model_returned,provider,fault,rep,control_type,branch,variant,condition,state,state_reason,runtime_state,state_mismatch,retry,rechecked,recovered,any_tool,category,looks_stale,script_run,token_in_result,token_in_text,script_commands,tool_calls,tool_log_mismatch,flag_dotdot,flag_stash,hit_step_cap,finish_reason,steps,input_tokens,output_tokens,reasoning_tokens,billed_output_tokens,cost_usd,priced,turn_wall_ms,trial_wall_ms
branch,m2-dryrun-20260925,t0001/V2_C3,t0001,research/pilot/runs/m2-dryrun-20260925/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V2_C3,V2,C3,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,bash scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2680,60,121,181,0.0012565,1,6736,
branch,m2-dryrun-20260925,t0001/V2_C4,t0001,research/pilot/runs/m2-dryrun-20260925/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V2_C4,V2,C4,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2685,66,75,141,0.001158,1,5584,
branch,m2-dryrun-20260925,t0001/V2_C5,t0001,research/pilot/runs/m2-dryrun-20260925/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V2_C5,V2,C5,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2855,61,223,284,0.0015665,1,6898,
branch,m2-dryrun-20260925,t0003/V1_C1,t0003,research/pilot/runs/m2-dryrun-20260925/trials/t0003.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F07,1,,V1_C1,V1,C1,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2525,54,144,198,0.0012525,1,6529,
branch,m2-dryrun-20260925,t0003/V1_C2,t0003,research/pilot/runs/m2-dryrun-20260925/trials/t0003.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F07,1,,V1_C2,V1,C2,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,scripts/run_tests.sh,3,0,0,0,0,stop,4,12087,98,401,499,0.0048736000000000005,1,15356,
branch,m2-dryrun-20260925,t0003/V1_C3,t0003,research/pilot/runs/m2-dryrun-20260925/trials/t0003.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F07,1,,V1_C3,V1,C3,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2514,58,85,143,0.0011116999999999998,1,5625,
branch,m2-dryrun-20260925,t0003/V1_C4,t0003,research/pilot/runs/m2-dryrun-20260925/trials/t0003.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F07,1,,V1_C4,V1,C4,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2605,59,52,111,0.001059,1,4668,
branch,m2-dryrun-20260925,t0003/V1_C5,t0003,research/pilot/runs/m2-dryrun-20260925/trials/t0003.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F07,1,,V1_C5,V1,C5,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2658,56,106,162,0.0012024000000000002,1,6688,
branch,m2-dryrun-20260925,t0003/V2_C1,t0003,research/pilot/runs/m2-dryrun-20260925/trials/t0003.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F07,1,,V2_C1,V2,C1,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,bash scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2653,61,120,181,0.0012484,1,7557,
branch,m2-dryrun-20260925,t0003/V2_C2,t0003,research/pilot/runs/m2-dryrun-20260925/trials/t0003.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F07,1,,V2_C2,V2,C2,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,3664,56,66,122,0.0014042,1,5834,
branch,m2-dryrun-20260925,t0003/V2_C3,t0003,research/pilot/runs/m2-dryrun-20260925/trials/t0003.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F07,1,,V2_C3,V2,C3,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,bash scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2760,60,228,288,0.001548,1,7968,
branch,m2-dryrun-20260925,t0003/V2_C4,t0003,research/pilot/runs/m2-dryrun-20260925/trials/t0003.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F07,1,,V2_C4,V2,C4,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,bash scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2757,58,152,210,0.0013521,1,6720,
branch,m2-dryrun-20260925,t0003/V2_C5,t0003,research/pilot/runs/m2-dryrun-20260925/trials/t0003.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F07,1,,V2_C5,V2,C5,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,bash scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2803,64,88,152,0.0012209,1,7016,
control,m2-dryrun-20260925,k0001,k0001,research/pilot/runs/m2-dryrun-20260925/trials/k0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,T1,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2343,56,122,178,0.0011479,1,6445,6905
control,m2-dryrun-20260925,k0002,k0002,research/pilot/runs/m2-dryrun-20260925/trials/k0002.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,V2,,,,OK,,,,1,1,1,1,,,,1,1,scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2695,57,67,124,0.0011185,1,7184,7683
control,m2-dryrun-20260925,k0003,k0003,research/pilot/runs/m2-dryrun-20260925/trials/k0003.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,T1,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2686,58,41,99,0.0010532999999999999,1,6381,6917
control,m2-dryrun-20260925,k0004,k0004,research/pilot/runs/m2-dryrun-20260925/trials/k0004.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,V2,,,,OK,,,,1,1,1,1,,,,1,1,scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2545,58,141,199,0.001261,1,6749,7216
control,m2-dryrun-20260925,k0005,k0005,research/pilot/runs/m2-dryrun-20260925/trials/k0005.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,T1,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2386,58,84,142,0.0010708,1,5551,6000
control,m2-dryrun-20260925,k0006,k0006,research/pilot/runs/m2-dryrun-20260925/trials/k0006.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,V2,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2489,58,156,214,0.0012816999999999998,1,6701,7200
control,m2-dryrun-20260925,k0007,k0007,research/pilot/runs/m2-dryrun-20260925/trials/k0007.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,T1,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2401,58,115,173,0.0011528,1,6113,6567
control,m2-dryrun-20260925,k0008,k0008,research/pilot/runs/m2-dryrun-20260925/trials/k0008.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,V2,,,,OK,,,,1,1,1,1,,,,1,1,scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2546,59,268,327,0.0015813,1,8113,8599
control,m2-dryrun-20260925,k0009,k0009,research/pilot/runs/m2-dryrun-20260925/trials/k0009.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,T1,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2406,58,93,151,0.0010992999999999999,1,5735,6207
control,m2-dryrun-20260925,k0010,k0010,research/pilot/runs/m2-dryrun-20260925/trials/k0010.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,V2,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2493,60,144,204,0.0012579000000000002,1,6950,7425
control,m2-dryrun-20260925,k0011,k0011,research/pilot/runs/m2-dryrun-20260925/trials/k0011.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,T1,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2440,58,62,120,0.001032,1,6011,6484
control,m2-dryrun-20260925,k0012,k0012,research/pilot/runs/m2-dryrun-20260925/trials/k0012.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,V2,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2527,61,110,171,0.0011856,1,7075,7527
control,m2-dryrun-20260925,k0013,k0013,research/pilot/runs/m2-dryrun-20260925/trials/k0013.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,T1,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2417,57,78,135,0.0010626,1,5693,6139
control,m2-dryrun-20260925,k0014,k0014,research/pilot/runs/m2-dryrun-20260925/trials/k0014.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,V2,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2474,59,225,284,0.0014521999999999998,1,7488,7964
control,m2-dryrun-20260925,k0015,k0015,research/pilot/runs/m2-dryrun-20260925/trials/k0015.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,T1,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2414,57,51,108,0.0009942,1,4919,5473
control,m2-dryrun-20260925,k0016,k0016,research/pilot/runs/m2-dryrun-20260925/trials/k0016.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,V2,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2444,59,160,219,0.0012806999999999999,1,6333,6805
control,m2-dryrun-20260925,k0017,k0017,research/pilot/runs/m2-dryrun-20260925/trials/k0017.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,T1,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2392,56,89,145,0.0010800999999999999,1,6170,6681
control,m2-dryrun-20260925,k0018,k0018,research/pilot/runs/m2-dryrun-20260925/trials/k0018.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,V2,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2525,58,115,173,0.00119,1,6572,7043
control,m2-dryrun-20260925,k0019,k0019,research/pilot/runs/m2-dryrun-20260925/trials/k0019.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,T1,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2404,57,79,136,0.0010611999999999998,1,6316,6767
control,m2-dryrun-20260925,k0020,k0020,research/pilot/runs/m2-dryrun-20260925/trials/k0020.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,V2,,,,OK,,,,1,1,1,1,,,,1,1,bash scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2452,58,80,138,0.0010806,1,5766,6225
